RecordID,lpep_pickup_date,lpep_dropoff_date
55340,2023-02-26,2023-02-26
25247,2023-02-12,2023-02-12
49673,2023-02-23,2023-02-23
58343,2023-02-28,2023-02-28
27562,2023-02-13,2023-02-13
2653,2023-01-26,2023-01-26
16968,2023-02-08,2023-02-08
63272,2023-02-19,2023-02-19
33506,2023-02-16,2023-02-16
31845,2023-02-15,2023-02-15
26537,2023-02-13,2023-02-13
60177,2023-02-02,2023-02-02
51367,2023-02-24,2023-02-24
54385,2023-02-26,2023-02-26
19877,2023-02-10,2023-02-10
63425,2023-02-20,2023-02-20
31234,2023-02-15,2023-02-15
23465,2023-02-11,2023-02-11
38232,2023-02-18,2023-02-18
58435,2023-02-28,2023-02-28
59514,2023-02-28,2023-02-28
14315,2023-02-07,2023-02-07
33075,2023-02-16,2023-02-16
9127,2023-02-05,2023-02-05
18470,2023-02-09,2023-02-09
9158,2023-02-05,2023-02-05
49532,2023-02-23,2023-02-23
6214,2023-02-03,2023-02-03
40525,2023-02-19,2023-02-19
52389,2023-02-25,2023-02-25
16417,2023-02-08,2023-02-08
64701,2023-02-28,2023-02-28
59621,2023-02-28,2023-02-28
34902,2023-02-16,2023-02-16
64407,2023-02-26,2023-02-26
46214,2023-02-22,2023-02-22
53098,2023-02-25,2023-02-25
39446,2023-02-18,2023-02-18
59124,2023-02-28,2023-02-28
9631,2023-02-05,2023-02-05
20325,2023-02-10,2023-02-10
6472,2023-02-03,2023-02-03
47830,2023-02-23,2023-02-23
4832,2023-02-03,2023-02-03
58906,2023-02-28,2023-02-28
55736,2023-02-27,2023-02-27
44825,2023-02-21,2023-02-21
21639,2023-02-10,2023-02-10
30942,2023-02-15,2023-02-15
36687,2023-02-17,2023-02-17
6599,2023-02-03,2023-02-03
23186,2023-02-11,2023-02-11
28453,2023-02-14,2023-02-14
20722,2023-02-10,2023-02-10
40035,2023-02-19,2023-02-19
41970,2023-02-20,2023-02-20
59835,2023-02-28,2023-02-28
13400,2023-02-07,2023-02-07
63347,2023-02-19,2023-02-19
36210,2023-02-17,2023-02-17
31261,2023-02-15,2023-02-15
29012,2023-02-14,2023-02-14
56708,2023-02-27,2023-02-27
34167,2023-02-16,2023-02-16
17071,2023-02-08,2023-02-08
4081,2023-02-02,2023-02-02
52758,2023-02-25,2023-02-25
60192,2023-02-02,2023-02-02
35959,2023-02-17,2023-02-17
60030,2023-02-01,2023-02-01
920,2023-02-01,2023-02-01
6112,2023-02-03,2023-02-03
47166,2023-02-22,2023-02-22
55056,2023-02-26,2023-02-26
26137,2023-02-13,2023-02-13
46547,2023-02-22,2023-02-22
54057,2023-02-25,2023-02-25
51448,2023-02-24,2023-02-24
43788,2023-02-21,2023-02-21
40977,2023-02-19,2023-02-19
74,2023-02-01,2023-02-01
40101,2023-02-19,2023-02-19
32347,2023-02-15,2023-02-15
54267,2023-02-26,2023-02-26
56859,2023-02-27,2023-02-27
21832,2023-02-10,2023-02-10
15984,2023-02-08,2023-02-08
47859,2023-02-23,2023-02-23
21312,2023-02-10,2023-02-10
46113,2023-02-22,2023-02-22
57047,2023-02-27,2023-02-27
4127,2023-02-02,2023-02-02
12521,2023-02-06,2023-02-06
60097,2023-02-01,2023-02-01
37192,2023-02-17,2023-02-17
14529,2023-02-07,2023-02-07
15637,2023-02-08,2023-02-08
52648,2023-02-25,2023-02-25
63408,2023-02-20,2023-02-20
9338,2023-02-05,2023-02-05
52637,2023-02-25,2023-02-25
35585,2023-02-17,2023-02-17
29358,2023-02-14,2023-02-14
5977,2023-02-03,2023-02-03
5272,2023-02-03,2023-02-03
20975,2023-02-10,2023-02-10
57349,2023-02-27,2023-02-27
33288,2023-02-16,2023-02-16
61134,2023-02-07,2023-02-07
32065,2023-02-15,2023-02-15
7147,2023-02-03,2023-02-03
19755,2023-02-09,2023-02-09
36127,2023-02-17,2023-02-17
19076,2023-02-09,2023-02-09
46305,2023-02-22,2023-02-22
8179,2023-02-04,2023-02-04
35877,2023-02-17,2023-02-17
21807,2023-02-10,2023-02-10
53376,2023-02-25,2023-02-25
60440,2023-02-03,2023-02-03
35408,2023-02-17,2023-02-17
13317,2023-02-07,2023-02-07
63166,2023-02-18,2023-02-18
52391,2023-02-25,2023-02-25
39530,2023-02-18,2023-02-19
35863,2023-02-17,2023-02-17
38510,2023-02-18,2023-02-18
18851,2023-02-09,2023-02-09
29162,2023-02-14,2023-02-14
6005,2023-02-03,2023-02-03
39078,2023-02-18,2023-02-18
52293,2023-02-25,2023-02-25
25224,2023-02-12,2023-02-12
20777,2023-02-10,2023-02-10
37725,2023-02-18,2023-02-18
15866,2023-02-08,2023-02-08
19027,2023-02-09,2023-02-09
12050,2023-02-06,2023-02-06
12411,2023-02-06,2023-02-06
53835,2023-02-25,2023-02-25
12237,2023-02-06,2023-02-06
2160,2023-02-01,2023-02-01
40158,2023-02-19,2023-02-19
64310,2023-02-25,2023-02-25
43034,2023-02-21,2023-02-21
17043,2023-02-08,2023-02-08
31229,2023-02-15,2023-02-15
4527,2023-02-02,2023-02-02
5886,2023-02-03,2023-02-03
44480,2023-02-21,2023-02-21
49650,2023-02-23,2023-02-23
8534,2023-02-04,2023-02-04
57460,2023-02-27,2023-02-27
9800,2023-02-05,2023-02-05
60514,2023-02-03,2023-02-03
2532,2023-02-02,2023-02-02
55211,2023-02-26,2023-02-26
5259,2023-02-03,2023-02-03
58862,2023-02-28,2023-02-28
45830,2023-02-22,2023-02-22
60495,2023-02-03,2023-02-03
54352,2023-02-26,2023-02-26
35428,2023-02-17,2023-02-17
44793,2023-02-21,2023-02-21
25643,2023-02-12,2023-02-12
54910,2023-02-26,2023-02-26
46221,2023-02-22,2023-02-22
34378,2023-02-16,2023-02-16
18063,2023-02-09,2023-02-09
34196,2023-02-16,2023-02-16
53190,2023-02-25,2023-02-25
15433,2023-02-08,2023-02-08
55671,2023-02-26,2023-02-26
14103,2023-02-07,2023-02-07
58657,2023-02-28,2023-02-28
44530,2023-02-21,2023-02-21
38653,2023-02-18,2023-02-18
54084,2023-02-25,2023-02-25
62243,2023-02-13,2023-02-13
27487,2023-02-13,2023-02-13
37990,2023-02-18,2023-02-18
18036,2023-02-09,2023-02-09
29528,2023-02-14,2023-02-14
32286,2023-02-15,2023-02-15
43269,2023-02-21,2023-02-21
42021,2023-02-20,2023-02-20
45889,2023-02-22,2023-02-22
60092,2023-02-01,2023-02-01
64386,2023-02-26,2023-02-26
51991,2023-02-24,2023-02-24
23420,2023-02-11,2023-02-11
5398,2023-02-03,2023-02-03
21254,2023-02-10,2023-02-10
40159,2023-02-19,2023-02-19
7559,2023-02-04,2023-02-04
31879,2023-02-15,2023-02-15
38474,2023-02-18,2023-02-18
41297,2023-02-20,2023-02-20
21972,2023-02-10,2023-02-10
55383,2023-02-26,2023-02-26
12476,2023-02-06,2023-02-06
15927,2023-02-08,2023-02-08
1062,2023-02-01,2023-02-01
47938,2023-02-23,2023-02-23
17762,2023-02-09,2023-02-09
7676,2023-02-04,2023-02-04
46224,2023-02-22,2023-02-22
14448,2023-02-07,2023-02-07
24383,2023-02-12,2023-02-12
52073,2023-02-24,2023-02-24
11172,2023-02-06,2023-02-06
21793,2023-02-10,2023-02-10
27926,2023-02-13,2023-02-13
53471,2023-02-25,2023-02-25
4075,2023-02-02,2023-02-02
6593,2023-02-03,2023-02-03
51322,2023-02-24,2023-02-24
9591,2023-02-05,2023-02-05
56054,2023-02-27,2023-02-27
